fr-BJ;fr
fr-CA;fr
fr-CD;fr
fr-CF;fr
fr-CG;fr
fr-CH;fr
fr-CI;fr
fr-CM;fr
fr-DJ;fr
fr-FR;fr
fr-GA;fr
fr-GN;fr
fr-GQ;fr
fr-HT;fr
fr-KM;fr
fr-LB;fr
fr-LU;fr
fr-MC;fr
fr-MG;fr
fr-ML;fr
fr-MU;fr
fr-NE;fr
fr-RW;fr
fr-SC;fr
fr-SN;fr
fr-TD;fr
fr-TG;fr
fr-VU;fr
fr;en
ga-IE;ga
ga;en
gn-AR;gn
gn-BO;gn
gn-PY;gn
gn;en
he-IL;he
he;en
hi-IN;hi
hi;en
ho-PG;ho
ho;en
hr-BA;hr
hr-HR;hr
hr;en
ht-HT;ht
ht;en
hu-HU;hu
hu;en
hy-AM;hy
hy;en
hz-NA;hz
hz;en
id-ID;id
id;en
is-IS;is
is;en
it-CH;it
it-IT;it
it-SM;it
it-VA;it
it;en
ja-JP;ja
ja;en
ka-GE;ka
ka;en
kg-CD;kg
kg-CG;kg
kg;en
kk-KZ;kk
kk;en
km-KH;km
km;en
ko-KP;ko
ko-KR;ko
ko;en
ky-KG;ky
ky;en
la-VA;la
la;en
lb-LU;lb
lb;en
ln-CD;ln
ln-CG;ln
ln;en
lo-LA;lo
lo;en
lt-LT;lt
lt;en
lv-LV;lv
lv;en
mg-MG;mg
mg;en
mh-MH;mh
mh;en
mi-NZ;mi
mi;en
mk-MK;mk
mk;en
mn-MN;mn
mn;en
ms-BN;ms
ms-MY;ms
ms-SG;ms
ms;en
mt-MT;mt
mt;en
my-MM;my
my;en
na-NR;na
na;en
nb-NO;nb
nb;en
nd-ZW;nd
nd;en
ne-NP;ne
ne;en
ng-NA;ng
ng;en
nl-BE;nl
nl-NL;nl
nl-SR;nl
nl;en
nn-NO;nn
nn;en
nr-ZA;nr
nr;en
ny-MW;ny
ny-ZW;ny
ny;en
pl-PL;pl
pl;en
ps-AF;ps
ps;en
pt-AO;pt
pt-BR;pt
pt-CV;pt
pt-GQ;pt
pt-GW;pt
pt-MZ;pt
pt-PT;pt
pt-ST;pt
pt-TL;pt
pt;en
qu-BO;qu
qu-PE;qu
qu;en
rm-CH;rm
rm;en
rn-BI;rn
rn;en
ro-MD;ro
ro-RO;ro
ro;en
ru-AZ;ru
ru-BY;ru
ru-KG;ru
ru-KZ;ru
ru-RU;ru
ru-TJ;ru
ru-TM;ru
ru-UZ;ru
ru;en
rw-RW;rw
rw;en
sg-CF;sg
sg;en
si-LK;si
si;en
sk-CZ;sk
sk-SK;sk
sk;en
sl-SI;sl
sl;en
sm-WS;sm
sm;en
sn-ZW;sn
sn;en
so-SO;so
so;en
sq-AL;sq
sq;en
sr-BA;sr
sr-RS;sr
sr;en
ss-SZ;ss
ss-ZA;ss
ss;en
st-LS;st
st-ZA;st
st-ZW;st
st;en
sv-FI;sv
sv-SE;sv
sv;en
sw-CD;sw
sw-KE;sw
sw-TZ;sw
sw-UG;sw
sw;en
ta-IN;ta
ta-LK;ta
ta-SG;ta
ta;en
tg-TJ;tg
tg;en
th-TH;th
th;en
ti-ER;ti
ti;en
tk-AF;tk
tk-TM;tk
tk;en
tl-PH;tl
tl;en
tn-BW;tn
tn-NA;tn
tn-ZA;tn
tn-ZW;tn
tn;en
to-TO;to
to;en
tr-CY;tr
tr-TR;tr
tr;en
ts-ZA;ts
ts-ZW;ts
ts;en
uk-UA;uk
uk;en
ur-PK;ur
ur;en
uz-UZ;uz
uz;en
ve-ZA;ve
ve-ZW;ve
ve;en
vi-VN;vi
vi;en
xh-ZA;xh
xh-ZW;xh
xh;en
zh-CN;zh
zh-SG;zh
zh;en
zu-ZA;zu
zu;en
